player_A,player_B,matches,A_wins,B_wins,last_match_date,last5_sequence,A_wins_last5
104926,105173,2,2,0,2019-08-05,1 1,2
105138,106210,2,1,1,2022-02-21,1 0,1
103893,106421,2,0,2,2019-07-01,0 0,0
104898,105376,1,1,0,2018-01-08,1,1
105332,200282,2,0,2,2018-10-08,0 0,0
103970,105223,3,0,3,2018-03-05,0 0 0,0
104926,106421,4,0,4,2021-07-24,0 0 0 0,0
104898,105138,3,0,3,2023-01-09,0 0 0,0
106421,200282,8,6,2,2023-09-27,1 0 0 1 1,3
105138,105223,1,1,0,2018-01-08,1,1
103607,104745,1,0,1,2018-01-15,0,0
104919,111797,3,2,1,2019-01-14,1 0 1,2
105357,106432,1,1,0,2018-01-15,1,1
103893,106000,1,0,1,2018-01-15,0,0
105583,106043,4,2,2,2024-04-15,0 0 1 1,2
111460,134770,2,0,2,2023-04-03,0 0,0
104890,105238,1,0,1,2018-01-15,0,0
104545,105051,3,2,1,2019-07-15,0 1 1,2
105807,106186,1,1,0,2018-01-15,1,1
104468,105657,2,2,0,2019-09-16,1 1,2
104291,106099,1,1,0,2018-01-15,1,1
104180,105643,1,1,0,2018-01-15,1,1
104022,104655,1,0,1,2018-01-15,0,0
104534,105992,1,0,1,2018-01-15,0,0
104460,105311,1,0,1,2018-01-15,0,0
105227,105577,2,2,0,2018-03-19,1 1,2
105777,110602,1,1,0,2018-01-15,1,1
111200,111456,1,0,1,2018-01-15,0,0
104571,106026,1,1,0,2018-01-15,1,1
103970,126094,2,1,1,2018-02-26,0 1,1
104297,106401,1,0,1,2018-01-15,0,0
104678,106109,1,1,0,2018-01-15,1,1
126774,133430,6,2,4,2024-03-18,1 0 0 1 0,2
104542,110536,1,1,0,2018-01-15,1,1
104731,106378,2,1,1,2020-08-24,0 1,1
104797,105732,1,1,0,2018-01-15,1,1
105589,105932,1,0,1,2018-01-15,0,0
105074,106298,1,1,0,2018-01-15,1,1
104259,106415,1,0,1,2018-01-15,0,0
104312,144895,1,1,0,2018-01-15,1,1
103333,111513,1,1,0,2018-01-15,1,1
105216,106058,1,1,0,2018-01-15,1,1
105550,106233,3,0,3,2019-04-22,0 0 0,0
105449,106045,3,1,2,2022-04-04,0 0 1,1
106210,106324,1,1,0,2018-01-15,1,1
105173,126610,1,1,0,2018-01-15,1,1
104269,105138,1,1,0,2018-01-15,1,1
105649,109739,1,0,1,2018-01-15,0,0
104871,105815,2,1,1,2021-05-24,0 1,1
104527,105575,1,1,0,2018-01-15,1,1
104925,105385,1,1,0,2018-01-15,1,1
104792,144719,1,1,0,2018-01-15,1,1
105065,200615,1,1,0,2018-01-15,1,1
105077,111577,2,2,0,2018-04-16,1 1,2
104999,111202,1,0,1,2018-01-15,0,0
106421,106423,1,1,0,2018-01-15,1,1
105062,105376,1,0,1,2018-01-15,0,0
100644,105341,1,1,0,2018-01-15,1,1
104897,105676,1,0,1,2018-01-15,0,0
103898,106121,1,1,0,2018-01-15,1,1
104252,105539,1,0,1,2018-01-15,0,0
104547,104926,1,0,1,2018-01-15,0,0
104607,200282,1,1,0,2018-01-15,1,1
104198,105332,1,1,0,2018-01-15,1,1
105166,111575,1,0,1,2018-01-15,0,0
105223,126207,2,1,1,2018-02-19,1 0,1
103852,105023,2,0,2,2018-03-05,0 0,0
105430,105916,2,1,1,2018-09-17,0 1,1
106044,111442,1,1,0,2018-01-15,1,1
105041,105683,1,1,0,2018-01-15,1,1
104755,104882,1,1,0,2018-01-15,1,1
104898,132283,2,0,2,2019-04-08,0 0,0
105526,126952,1,1,0,2018-01-15,1,1
103819,105379,2,2,0,2018-06-18,1 1,2
104745,104919,2,2,0,2019-04-22,1 1,2
105357,106000,1,0,1,2018-01-15,0,0
106043,134770,9,5,4,2023-03-06,0 0 1 0 0,1
105051,105238,1,0,1,2018-01-15,0,0
104468,105807,3,1,2,2022-05-23,0 0 1,1
104180,104291,1,1,0,2018-01-15,1,1
104655,105992,1,0,1,2018-01-15,0,0
105227,105311,2,1,1,2019-07-01,1 0,1
105777,111456,4,3,1,2023-09-27,1 0 1 1,3
104571,126094,1,0,1,2018-01-15,0,0
104678,106401,1,0,1,2018-01-15,0,0
104542,133430,1,1,0,2018-01-15,1,1
104797,106378,1,0,1,2018-01-15,0,0
105074,105932,1,0,1,2018-01-15,0,0
104312,106415,2,2,0,2021-06-21,1 1,2
103333,105216,1,1,0,2018-01-15,1,1
106045,106233,1,0,1,2018-01-15,0,0
105173,106210,1,1,0,2018-01-15,1,1
104269,109739,1,0,1,2018-01-15,0,0
104527,105815,1,0,1,2018-01-15,0,0
104792,104925,6,0,6,2023-08-14,0 0 0 0 0,0
105065,105077,1,0,1,2018-01-15,0,0
106421,111202,1,0,1,2018-01-15,0,0
100644,105376,3,2,1,2022-02-21,1 1 0,2
103898,105676,1,1,0,2018-01-15,1,1
104926,105539,1,1,0,2018-01-15,1,1
104198,104607,1,0,1,2018-01-15,0,0
105023,105916,1,0,1,2018-01-15,0,0
105041,106044,1,0,1,2018-01-15,0,0
104755,132283,3,1,2,2024-04-22,1 0 0,1
103819,105526,3,3,0,2018-10-22,1 1 1,3
104745,106000,2,2,0,2018-05-14,1 1,2
104180,105807,1,0,1,2018-01-15,0,0
105227,105992,2,2,0,2018-05-14,1 1,2
105777,126094,6,3,3,2023-10-02,1 0 0 1 0,2
104542,106401,1,0,1,2018-01-15,0,0
105932,106378,2,1,1,2018-10-01,0 1,1
103333,104312,1,0,1,2018-01-15,0,0
105173,106233,4,2,2,2023-03-06,0 0 1 1,2
105815,109739,2,2,0,2019-01-07,1 1,2
104925,105077,2,2,0,2018-05-14,1 1,2
100644,111202,2,1,1,2018-04-30,0 1,1
103898,104926,1,0,1,2018-01-15,0,0
104607,105223,1,1,0,2018-01-15,1,1
103819,104755,3,3,0,2021-06-28,1 1 1,3
104745,106043,8,7,1,2021-05-31,1 1 0 1 1,4
105227,105807,4,3,1,2021-07-24,1 1 1 0,3
104312,106378,5,1,4,2020-02-10,0 1 0 0 0,1
105815,106233,1,1,0,2018-01-15,1,1
104925,111202,1,0,1,2018-01-15,0,0
104607,104926,1,1,0,2018-01-15,1,1
103819,105916,3,3,0,2020-01-20,1 1 1,3
104745,105227,3,2,1,2019-08-26,0 1 1,2
103819,104607,1,1,0,2018-01-15,1,1
105227,106378,1,1,0,2018-01-15,1,1
103819,111202,2,2,0,2018-03-05,1 1,2
103819,105227,2,2,0,2021-05-31,1 1,2
104571,106099,1,1,0,2018-02-05,1,1
105613,126535,1,0,1,2018-02-05,0,0
105870,105933,1,0,1,2018-02-05,0,0
105430,106075,2,1,1,2018-07-30,0 1,1
104999,105332,3,0,3,2018-10-15,0 0 0,0
105589,106065,1,1,0,2018-02-05,1,1
105041,105539,1,1,0,2018-02-05,1,1
105216,105357,1,0,1,2018-02-05,0,0
103607,105064,1,1,0,2018-02-05,1,1
104022,104312,2,0,2,2018-04-23,0 0,0
103917,104460,1,1,0,2018-02-05,1,1
104122,134770,2,0,2,2019-02-18,0 0,0
104882,111513,1,1,0,2018-02-05,1,1
104871,126774,4,1,3,2021-05-31,1 0 0 0,1
105166,105561,1,0,1,2018-02-05,0,0
104898,105657,2,1,1,2018-07-02,0 1,1
104198,126094,1,0,1,2018-02-05,0,0
104547,106329,1,0,1,2018-02-05,0,0
105311,106220,1,1,0,2018-02-05,1,1
104755,106421,4,2,2,2022-05-16,1 0 0 1,2
105487,111797,1,0,1,2018-02-05,0,0
104291,109739,1,0,1,2018-02-05,0,0
104932,105732,1,0,1,2018-02-05,0,0
104665,105882,2,0,2,2020-09-28,0 0,0
104252,105806,1,0,1,2018-02-05,0,0
105074,123921,1,1,0,2018-02-05,1,1
105943,106148,1,0,1,2018-02-05,0,0
104678,105208,1,1,0,2018-02-05,1,1
103970,111575,2,0,2,2018-07-02,0 0,0
103333,124014,1,1,0,2018-02-05,1,1
104797,202090,1,1,0,2018-02-05,1,1
103898,105575,1,0,1,2018-02-05,0,0
104629,144895,1,0,1,2018-02-05,0,0
105373,200574,1,1,0,2018-02-05,1,1
104297,105413,1,0,1,2018-02-05,0,0
104468,120424,1,1,0,2018-02-05,1,1
104571,105173,1,1,0,2018-02-05,1,1
106298,126535,1,1,0,2018-02-05,1,1
105077,105933,1,1,0,2018-02-05,1,1
105041,106075,1,0,1,2018-02-05,0,0
103607,105589,1,0,1,2018-02-05,0,0
105332,105357,2,2,0,2020-01-13,1 1,2
104792,134770,2,1,1,2024-03-04,1 0,1
104180,104312,1,1,0,2018-02-05,1,1
103917,104542,1,0,1,2018-02-05,0,0
105561,106329,1,0,1,2018-02-05,0,0
104882,105657,1,0,1,2018-02-05,0,0
104871,126094,4,1,3,2021-03-01,0 1 0 0,1
105882,111797,1,0,1,2018-02-05,0,0
105311,109739,1,0,1,2018-02-05,0,0
104755,105732,2,1,1,2018-02-12,1 0,1
103893,106148,2,0,2,2019-07-22,0 0,0
104259,105806,1,0,1,2018-02-05,0,0
105074,106000,1,0,1,2018-02-05,0,0
103333,144895,2,0,2,2018-05-28,0 0,0
104678,104797,1,1,0,2018-02-05,1,1
105575,111575,2,0,2,2021-02-08,0 0,0
105413,105807,1,1,0,2018-02-05,1,1
104527,105373,2,1,1,2018-09-17,1 0,1
104468,105676,3,1,2,2022-09-19,0 0 1,1
105077,105589,1,1,0,2018-02-05,1,1
104571,106075,1,0,1,2018-02-05,0,0
105332,106298,2,1,1,2018-05-07,0 1,1
104792,106329,3,0,3,2024-05-06,0 0 0,0
104180,105657,1,0,1,2018-02-05,0,0
104542,126094,3,2,1,2019-10-28,1 0 1,2
106148,111797,5,4,1,2022-10-17,1 0 1 1 1,4
105806,109739,1,1,0,2018-02-05,1,1
104755,106000,3,2,1,2023-04-17,1 1 0,2
105413,144895,2,2,0,2020-02-03,1 1,2
104527,104678,1,1,0,2018-02-05,1,1
105676,111575,2,2,0,2018-04-23,1 1,2
105077,106329,4,2,2,2023-02-27,1 1 0 0,2
105657,106075,1,1,0,2018-02-05,1,1
104542,106298,2,1,1,2019-09-16,0 1,1
105413,106148,2,0,2,2019-02-04,0 0,0
104527,105806,1,0,1,2018-02-05,0,0
104755,105676,5,3,2,2023-01-09,1 0 0 1 1,3
105077,106148,6,3,3,2023-11-06,0 1 1 0 1,3
105657,105806,2,1,1,2018-07-30,0 1,1
104755,106298,2,0,2,2019-07-01,0 0,0
105216,105777,1,0,1,2018-02-12,0,0
105936,200000,5,2,3,2022-05-23,1 1 0 0 0,2
104122,104198,1,0,1,2018-02-12,0,0
104022,105051,1,1,0,2018-02-12,1,1
105657,106000,2,0,2,2018-06-25,0 0,0
104252,105643,1,0,1,2018-02-12,0,0
103333,111577,1,1,0,2018-02-12,1,1
106298,126094,3,0,3,2022-02-14,0 0 0,0
105671,106148,1,1,0,2018-02-12,1,1
105385,105992,1,0,1,2018-02-12,0,0
103917,105676,1,0,1,2018-02-12,0,0
103852,105373,2,1,1,2018-04-23,1 0,1
105379,106210,1,1,0,2018-02-12,1,1
104882,105376,1,0,1,2018-02-12,0,0
104678,105526,1,1,0,2018-02-12,1,1
105064,106398,1,1,0,2018-02-12,1,1
104871,105882,1,1,0,2018-02-12,1,1
104607,104999,1,1,0,2018-02-12,1,1
104890,106043,1,0,1,2018-02-12,0,0
104629,105449,1,1,0,2018-02-12,1,1
104180,106421,1,0,1,2018-02-12,0,0
104655,104792,1,0,1,2018-02-12,0,0
105453,111511,1,1,0,2018-02-12,1,1
105487,105583,1,0,1,2018-02-12,0,0
103607,105539,1,0,1,2018-02-12,0,0
104312,105311,3,3,0,2021-06-28,1 1 1,3
104297,104919,1,0,1,2018-02-12,0,0
105430,106216,1,1,0,2018-02-12,1,1
100644,103970,5,4,1,2019-05-06,1 1 1 0 1,4
104527,134868,2,1,1,2023-04-10,0 1,1
104269,106329,3,2,1,2022-02-07,1 0 1,2
104534,105932,1,1,0,2018-02-12,1,1
104898,105217,1,1,0,2018-02-12,1,1
105550,106044,1,1,0,2018-02-12,1,1
126207,200624,5,3,2,2023-06-19,1 1 1 0 0,3
104259,111575,4,3,1,2019-10-14,1 1 1 0,3
104547,106065,1,1,0,2018-02-12,1,1
111456,124014,2,0,2,2021-07-19,0 0,0
103819,105074,1,1,0,2018-02-12,1,1
105777,105936,1,1,0,2018-02-12,1,1
104198,105807,1,1,0,2018-02-12,1,1
104022,105023,1,0,1,2018-02-12,0,0
106000,126094,2,0,2,2023-04-17,0 0,0
103333,105992,2,1,1,2019-04-08,1 0,1
105643,105671,1,1,0,2018-02-12,1,1
103852,105676,3,1,2,2023-04-17,0 1 0,1
105077,105379,1,0,1,2018-02-12,0,0
105173,105376,2,2,0,2022-07-25,1 1,2
104607,104678,1,1,0,2018-02-12,1,1
104629,104871,2,1,1,2019-02-04,1 0,1
105064,106043,1,0,1,2018-02-12,0,0
105453,105539,1,1,0,2018-02-12,1,1
105732,106421,3,1,2,2021-03-08,0 1 0,1
104792,105583,3,3,0,2024-03-18,1 1 1,3
100644,104312,1,0,1,2018-02-12,0,0
104545,105430,4,3,1,2018-07-02,0 1 1 1,3
104919,104926,3,2,1,2019-01-14,1 1 0,2
104534,126207,1,0,1,2018-02-12,0,0
104898,134868,1,1,0,2018-02-12,1,1
104269,105550,2,1,1,2018-03-05,0 1,1
104731,124014,1,1,0,2018-02-12,1,1
103819,104259,2,2,0,2019-02-25,1 1,2
104547,106233,1,0,1,2018-02-12,0,0
103333,105023,1,0,1,2018-02-12,0,0
104198,105643,3,1,2,2019-05-27,0 1 0,1
104629,105173,1,0,1,2018-02-12,0,0
104607,105676,1,0,1,2018-02-12,0,0
105379,106043,3,1,2,2021-05-31,1 0 0,1
105430,105453,1,0,1,2018-02-12,0,0
104312,106421,2,1,1,2018-10-22,1 0,1
104792,104919,3,2,1,2019-03-04,1 0 1,2
104731,126207,5,4,1,2021-04-26,1 1 1 0 1,4
103819,104898,1,1,0,2018-02-12,1,1
105023,105173,4,4,0,2021-06-21,1 1 1 1,4
105676,105777,5,1,4,2023-01-02,0 0 0 1 0,1
105379,105643,1,1,0,2018-02-12,1,1
104731,105453,4,3,1,2018-11-12,1 1 0 1,3
103819,104312,1,1,0,2018-02-12,1,1
104731,105023,2,2,0,2022-02-07,1 1,2
103819,105777,2,1,1,2019-08-26,1 0,1
105583,106233,3,1,2,2019-04-15,0 0 1,1
104871,105223,1,0,1,2018-02-19,0,0
104665,105589,1,1,0,2018-02-19,1,1
111513,125802,2,0,2,2021-10-25,0 0,0
103607,106044,2,0,2,2018-02-26,0 0,0
105015,122330,1,1,0,2018-02-19,1,1
103917,126774,1,1,0,2018-02-19,1,1
104269,104919,2,1,1,2018-05-07,1 0,1
111202,111815,1,1,0,2018-02-19,1,1
104180,104660,1,1,0,2018-02-19,1,1
105807,106065,2,1,1,2018-05-28,1 0,1
105023,126203,4,1,3,2019-06-24,0 0 1 0,1
104890,105379,1,0,1,2018-02-19,0,0
104022,104534,1,1,0,2018-02-19,1,1
105613,105732,1,0,1,2018-02-19,0,0
105815,106148,1,1,0,2018-02-19,1,1
103333,133430,1,0,1,2018-02-19,0,0
104468,109739,1,1,0,2018-02-19,1,1
104926,105064,1,1,0,2018-02-19,1,1
105166,111577,1,0,1,2018-02-19,0,0
105311,105936,3,1,2,2020-02-24,0 1 0,1
104655,106329,1,1,0,2018-02-19,1,1
105683,106121,2,2,0,2023-08-07,1 1,2
105062,106000,4,2,2,2019-09-16,0 0 1 1,2
105550,105671,1,0,1,2018-02-19,0,0
105449,105932,1,1,0,2018-02-19,1,1
105341,200000,1,1,0,2018-02-19,1,1
104198,111797,1,0,1,2018-02-19,0,0
105385,106368,1,1,0,2018-02-19,1,1
105882,200384,1,1,0,2018-02-19,1,1
104297,105077,3,0,3,2019-02-11,0 0 0,0
105539,105985,1,1,0,2018-02-19,1,1
105074,111575,1,0,1,2018-02-19,0,0
105643,106210,1,1,0,2018-02-19,1,1
105041,105376,1,0,1,2018-02-19,0,0
104882,104999,1,0,1,2018-02-19,0,0
104547,104792,2,1,1,2018-02-26,0 1,1
103898,104291,1,1,0,2018-02-19,1,1
105992,124187,1,0,1,2018-02-19,0,0
104122,105227,1,0,1,2018-02-19,0,0
105441,106058,1,0,1,2018-02-19,0,0
104665,106233,3,1,2,2021-05-31,0 0 1,1
104527,125802,2,1,1,2023-05-08,0 1,1
104269,106044,1,1,0,2018-02-19,1,1
105015,111202,1,0,1,2018-02-19,0,0
103917,104180,1,1,0,2018-02-19,1,1
105379,105807,4,2,2,2019-09-16,1 0 0 1,2
105732,106298,1,0,1,2018-02-19,0,0
104022,126203,1,0,1,2018-02-19,0,0
104468,105936,2,1,1,2018-09-17,0 1,1
104926,105815,4,2,2,2020-01-20,1 1 0 0,2
111577,133430,2,0,2,2018-06-25,0 0,0
105341,106000,3,1,2,2018-07-30,0 1 0,1
104655,105671,1,1,0,2018-02-19,1,1
105449,105683,2,1,1,2020-02-17,1 0,1
104607,105882,1,1,0,2018-02-19,1,1
105077,111797,3,1,2,2022-07-18,0 0 1,1
105385,105539,1,0,1,2018-02-19,0,0
104999,111575,2,0,2,2018-06-18,0 0,0
105643,106043,3,0,3,2020-02-10,0 0 0,0
104545,105376,2,1,1,2022-07-11,0 1,1
103898,105138,1,1,0,2018-02-19,1,1
104792,105227,2,2,0,2019-02-25,1 1,2
106058,124187,3,1,2,2022-02-14,0 1 0,1
103917,125802,1,0,1,2018-02-19,0,0
104269,106233,3,2,1,2019-10-21,1 1 0,2
111202,126207,1,0,1,2018-02-19,0,0
105936,106298,3,0,3,2019-09-16,0 0 0,0
104926,105379,4,3,1,2022-07-18,1 0 1 1,3
126203,133430,8,4,4,2023-03-20,0 1 0 1 1,3
104607,106000,1,1,0,2018-02-19,1,1
104655,111797,2,0,2,2019-06-24,0 0,0
105449,105539,1,1,0,2018-02-19,1,1
103898,111575,1,0,1,2018-02-19,0,0
104792,106043,4,1,3,2021-10-25,0 1 0 0,1
105376,124187,1,1,0,2018-02-19,1,1
106298,125802,1,1,0,2018-02-19,1,1
104269,104926,2,1,1,2018-07-16,1 0,1
126207,133430,6,2,4,2021-08-09,0 0 0 0 1,1
104607,111575,1,0,1,2018-02-19,0,0
106043,111797,5,3,2,2023-10-02,1 1 1 0 0,3
105376,105449,1,1,0,2018-02-19,1,1
106298,111575,6,3,3,2022-05-02,1 0 1 0 1,3
104269,106043,3,0,3,2019-09-30,0 0 0,0
105376,126207,1,0,1,2018-02-19,0,0
100644,111456,3,3,0,2022-03-21,1 1 1,3
105208,106298,1,0,1,2018-02-26,0,0
105952,106249,1,0,1,2018-02-26,0,0
105376,106412,1,1,0,2018-02-26,1,1
104797,111575,1,0,1,2018-02-26,0,0
104198,105589,1,1,0,2018-02-26,1,1
104890,105526,1,0,1,2018-02-26,0,0
105643,106148,5,5,0,2021-05-24,1 1 1 1 1,5
104545,105992,3,2,1,2018-07-23,0 1 1,2
105216,125802,2,1,1,2018-08-06,1 0,1
106233,111815,2,1,1,2021-05-17,1 0,1
106000,120424,1,1,0,2018-02-26,1,1
106065,124116,1,0,1,2018-02-26,0,0
105453,133430,2,1,1,2018-07-30,0 1,1
104882,105539,1,0,1,2018-02-26,0,0
104122,205734,1,1,0,2018-02-26,1,1
104571,104678,1,1,0,2018-02-26,1,1
104919,105671,1,1,0,2018-02-26,1,1
104999,105223,1,0,1,2018-02-26,0,0
105341,105936,1,0,1,2018-02-26,0,0
104297,105815,1,1,0,2018-02-26,1,1
104731,105430,1,1,0,2018-02-26,1,1
104755,106432,1,0,1,2018-02-26,0,0
105332,106415,2,1,1,2022-08-08,1 0,1
104547,105064,1,1,0,2018-02-26,1,1
105385,111202,1,0,1,2018-02-26,0,0
105311,105732,1,0,1,2018-02-26,0,0
106058,124014,1,0,1,2018-02-26,0,0
104252,105138,1,0,1,2018-02-26,0,0
105550,144895,3,1,2,2020-02-03,1 0 0,1
105023,105051,1,0,1,2018-02-26,0,0
104259,105163,1,1,0,2018-02-26,1,1
105583,111797,3,1,2,2023-05-22,0 1 0,1
105062,126774,4,0,4,2022-10-03,0 0 0 0,0
105932,111577,1,0,1,2018-02-26,0,0
106105,106329,1,1,0,2018-02-26,1,1
104898,111460,1,1,0,2018-02-26,1,1
106423,122330,1,1,0,2018-02-26,1,1
104291,105777,2,1,1,2018-04-23,1 0,1
103852,106121,2,2,0,2021-04-05,1 1,2
104926,106249,1,1,0,2018-02-26,1,1
105216,105526,2,1,1,2018-04-16,1 0,1
105992,106043,1,1,0,2018-02-26,1,1
105539,106000,2,2,0,2018-07-16,1 1,2
104655,124116,1,1,0,2018-02-26,1,1
106233,133430,3,3,0,2019-09-20,1 1 1,3
104571,105936,1,0,1,2018-02-26,0,0
104122,104919,1,0,1,2018-02-26,0,0
105332,106432,2,0,2,2020-08-24,0 0,0
104297,106044,1,1,0,2018-02-26,1,1
104731,105173,2,2,0,2019-01-14,1 1,2
105138,105732,1,1,0,2018-02-26,1,1
111202,124014,2,2,0,2019-08-26,1 1,2
104259,126774,4,0,4,2021-07-24,0 0 0 0,0
105550,111797,1,0,1,2018-02-26,0,0
105051,111577,1,0,1,2018-02-26,0,0
104291,104898,2,1,1,2019-04-08,1 0,1
105077,106105,1,1,0,2018-02-26,1,1
103852,106423,1,1,0,2018-02-26,1,1
105216,106298,1,0,1,2018-02-26,0,0
104198,104926,1,0,1,2018-02-26,0,0
100644,105992,1,1,0,2018-02-26,1,1
105539,105936,3,0,3,2019-01-14,0 0 0,0
